Event Clearance Description,Event Clearance Date,Hundred Block Location,Longitude,Latitude,Incident Location
PROSTITUTION,05/18/2014 11:57:00 PM,7 AV S / S KING ST,-122.323757274,47.598348207,"(47.598348207, -122.323757274)"
"VICE, OTHER",05/18/2014 10:04:00 PM,57 AV S / S HAZEL ST,-122.26129725,47.504880656,"(47.504880656, -122.26129725)"
PROSTITUTION,05/18/2014 06:10:00 PM,88XX BLOCK OF AURORA AV N,-122.344545647,47.692559492,"(47.692559492, -122.344545647)"
SUSPICIOUS PERSON,05/18/2014 12:11:00 PM,95XX BLOCK OF AURORA AV N,-122.344612328,47.698170962,"(47.698170962, -122.344612328)"
PROSTITUTION,05/16/2014 04:43:00 PM,AURORA AV N / N 92 ST,-122.344585401,47.695631585,"(47.695631585, -122.344585401)"
PROSTITUTION,05/14/2014 08:48:00 PM,N 130 ST / AURORA AV N,-122.34497772,47.72321099,"(47.72321099, -122.34497772)"
PROSTITUTION,05/14/2014 01:47:00 AM,RAINIER AV S / S OTHELLO ST,-122.270274316,47.536955398,"(47.536955398, -122.270274316)"
PROSTITUTION,05/13/2014 08:06:00 PM,RAINIER AV S / S GARDEN ST,-122.270434957,47.537641602,"(47.537641602, -122.270434957)"
PROSTITUTION,05/13/2014 02:28:00 PM,109XX BLOCK OF AURORA AV N,-122.34476003,47.709059715,"(47.709059715, -122.34476003)"
PROSTITUTION,05/12/2014 04:52:00 PM,BEACON AV S / S COLUMBIAN WY,-122.304658801,47.55960569,"(47.55960569, -122.304658801)"
PROSTITUTION,05/12/2014 04:50:00 PM,94XX BLOCK OF STONE AV N,-122.341907572,47.697435786,"(47.697435786, -122.341907572)"
PROSTITUTION,05/11/2014 11:07:00 PM,96XX BLOCK OF AURORA AV N,-122.344624165,47.699166566,"(47.699166566, -122.344624165)"
"VICE, OTHER",05/11/2014 08:05:00 PM,106XX BLOCK OF 57 AV S,-122.26129084,47.505500036,"(47.505500036, -122.26129084)"
"VICE, OTHER",05/10/2014 10:54:00 AM,RAINIER AV S / S GARDEN ST,-122.270434957,47.537641602,"(47.537641602, -122.270434957)"
PROSTITUTION,05/10/2014 01:02:00 AM,N 98 ST / AURORA AV N,-122.344642401,47.700522575,"(47.700522575, -122.344642401)"
PROSTITUTION,05/09/2014 11:15:00 PM,135XX BLOCK OF AURORA AV N,-122.345027037,47.727768617,"(47.727768617, -122.345027037)"
PROSTITUTION,05/09/2014 11:14:00 PM,9XX BLOCK OF N 135 ST,-122.34636528,47.726860593,"(47.726860593, -122.34636528)"
PROSTITUTION,05/09/2014 10:41:00 PM,135XX BLOCK OF AURORA AV N,-122.345027037,47.727768617,"(47.727768617, -122.345027037)"
MISDEMEANOR WARRANT SERVICE,05/09/2014 10:40:00 PM,120XX BLOCK OF AURORA AV N,-122.344896098,47.717174469,"(47.717174469, -122.344896098)"
PROSTITUTION,05/09/2014 10:11:00 PM,N 85 ST / AURORA AV N,-122.34452323,47.690562432,"(47.690562432, -122.34452323)"
PROSTITUTION,05/09/2014 10:09:00 PM,N 135 ST / AURORA AV N,-122.345018865,47.726857313,"(47.726857313, -122.345018865)"
PROSTITUTION,05/09/2014 09:59:00 PM,120XX BLOCK OF AURORA AV N,-122.344896098,47.717174469,"(47.717174469, -122.344896098)"
PROSTITUTION,05/09/2014 09:56:00 PM,N 97 ST / AURORA AV N,-122.344632325,47.699617846,"(47.699617846, -122.344632325)"
PROSTITUTION,05/09/2014 09:27:00 PM,135XX BLOCK OF AURORA AV N,-122.345027037,47.727768617,"(47.727768617, -122.345027037)"
PROSTITUTION,05/09/2014 06:51:00 AM,117XX BLOCK OF AURORA AV N,-122.344896098,47.717174469,"(47.717174469, -122.344896098)"
SUSPICIOUS PERSON,05/08/2014 05:02:00 PM,12 AV S / S GRAND ST,-122.317282147,47.586935648,"(47.586935648, -122.317282147)"
SUSPICIOUS PERSON,05/08/2014 04:56:00 PM,137XX BLOCK OF AURORA AV N,-122.34504704,47.729584799,"(47.729584799, -122.34504704)"
PROSTITUTION,05/08/2014 09:40:00 AM,10XX BLOCK OF FAIRVIEW AV N,-122.331237163,47.628451705,"(47.628451705, -122.331237163)"
PROSTITUTION,05/07/2014 07:34:00 PM,N 135 ST / AURORA AV N,-122.345018865,47.726857313,"(47.726857313, -122.345018865)"
PROSTITUTION,05/07/2014 04:14:00 PM,N 95 ST / AURORA AV N,-122.344608115,47.69780844,"(47.69780844, -122.344608115)"
PROSTITUTION,05/07/2014 04:13:00 PM,106XX BLOCK OF 57 AV S,-122.26129084,47.505500036,"(47.505500036, -122.26129084)"
"NARCOTICS, OTHER",05/07/2014 11:26:00 AM,RAINIER AV S / S GARDEN ST,-122.270434957,47.537641602,"(47.537641602, -122.270434957)"
PROSTITUTION,05/06/2014 06:51:00 PM,N 135 ST / AURORA AV N,-122.345018865,47.726857313,"(47.726857313, -122.345018865)"
PROSTITUTION,05/05/2014 08:09:00 PM,AURORA AV N / N 93 ST,-122.344594352,47.6963581,"(47.6963581, -122.344594352)"
PROSTITUTION,05/05/2014 04:16:00 PM,88XX BLOCK OF NESBIT AV N,-122.343478224,47.693276508,"(47.693276508, -122.343478224)"
PROSTITUTION,05/04/2014 07:44:00 AM,117XX BLOCK OF AURORA AV N,-122.344896098,47.717174469,"(47.717174469, -122.344896098)"
SUSPICIOUS PERSON,05/02/2014 07:40:00 PM,RAINIER AV S / S GARDEN ST,-122.270434957,47.537641602,"(47.537641602, -122.270434957)"
SUSPICIOUS PERSON,05/01/2014 10:59:00 PM,38XX BLOCK OF RAINIER AV S,-122.289921962,47.568881158,"(47.568881158, -122.289921962)"
PROSTITUTION,05/01/2014 10:57:00 PM,N 89 ST / LINDEN AV N,-122.347239504,47.69346856,"(47.69346856, -122.347239504)"
PROSTITUTION,05/01/2014 06:56:00 PM,RAINIER AV S / S GARDEN ST,-122.270434957,47.537641602,"(47.537641602, -122.270434957)"
SUSPICIOUS PERSON,05/01/2014 07:51:00 AM,N 94 ST / AURORA AV N,-122.344603223,47.697081872,"(47.697081872, -122.344603223)"
PROSTITUTION,04/29/2014 10:25:00 AM,122XX BLOCK OF AURORA AV N,-122.344896098,47.717174469,"(47.717174469, -122.344896098)"
PROSTITUTION,04/29/2014 08:08:00 AM,117XX BLOCK OF AURORA AV N,-122.344896098,47.717174469,"(47.717174469, -122.344896098)"
PROSTITUTION,04/29/2014 02:10:00 AM,RAINIER AV S / S WALDEN ST,-122.294005752,47.572918313,"(47.572918313, -122.294005752)"
PROSTITUTION,04/28/2014 05:50:00 PM,N 125 ST / STONE AV N,-122.342250855,47.719570075,"(47.719570075, -122.342250855)"
"VICE, OTHER",04/28/2014 09:18:00 AM,14 AV S / S CLOVERDALE ST,-122.314911934,47.526439647,"(47.526439647, -122.314911934)"
"DISTURBANCE, OTHER",04/26/2014 03:06:00 AM,14XX BLOCK OF E ALDER ST,-122.313522201,47.604346813,"(47.604346813, -122.313522201)"
SUSPICIOUS PERSON,04/24/2014 12:44:00 PM,95XX BLOCK OF AURORA AV N,-122.344612328,47.698170962,"(47.698170962, -122.344612328)"
"NARCOTICS, OTHER",04/22/2014 10:36:00 PM,92XX BLOCK OF AURORA AV N,-122.344586493,47.695996749,"(47.695996749, -122.344586493)"
PROSTITUTION,04/22/2014 10:10:00 PM,N 135 ST / AURORA AV N,-122.345018865,47.726857313,"(47.726857313, -122.345018865)"
PROSTITUTION,04/22/2014 08:06:00 PM,N 94 ST / AURORA AV N,-122.344603223,47.697081872,"(47.697081872, -122.344603223)"
PROSTITUTION,04/22/2014 07:36:00 PM,N 130 ST / AURORA AV N,-122.34497772,47.72321099,"(47.72321099, -122.34497772)"
PROSTITUTION,04/22/2014 07:34:00 PM,135XX BLOCK OF AURORA AV N,-122.345027037,47.727768617,"(47.727768617, -122.345027037)"
PROSTITUTION,04/22/2014 06:58:00 PM,135XX BLOCK OF AURORA AV N,-122.345027037,47.727768617,"(47.727768617, -122.345027037)"
PROSTITUTION,04/22/2014 06:40:00 PM,N 135 ST / AURORA AV N,-122.345018865,47.726857313,"(47.726857313, -122.345018865)"
PROSTITUTION,04/22/2014 06:38:00 PM,135XX BLOCK OF AURORA AV N,-122.345027037,47.727768617,"(47.727768617, -122.345027037)"
PROSTITUTION,04/22/2014 06:37:00 PM,70XX BLOCK OF E MARGINAL WY S,-122.322241455,47.539633219,"(47.539633219, -122.322241455)"
PROSTITUTION,04/22/2014 06:20:00 PM,135XX BLOCK OF AURORA AV N,-122.345027037,47.727768617,"(47.727768617, -122.345027037)"
SUSPICIOUS PERSON,04/22/2014 05:06:00 PM,135XX BLOCK OF AURORA AV N,-122.345027037,47.727768617,"(47.727768617, -122.345027037)"
PROSTITUTION,04/21/2014 10:51:00 PM,10XX BLOCK OF 1ST AV S,-122.334192272,47.594039734,"(47.594039734, -122.334192272)"
PROSTITUTION,04/21/2014 10:35:00 PM,120XX BLOCK OF AURORA AV N,-122.344896098,47.717174469,"(47.717174469, -122.344896098)"
SUSPICIOUS PERSON,04/20/2014 07:39:00 PM,92XX BLOCK OF 18 AV SW,-122.357819914,47.520677916,"(47.520677916, -122.357819914)"
PROSTITUTION,04/20/2014 05:50:00 PM,1XX BLOCK OF OCCIDENTAL AV S,-122.33287521,47.601301165,"(47.601301165, -122.33287521)"
PROSTITUTION,04/20/2014 06:45:00 AM,117XX BLOCK OF AURORA AV N,-122.344896098,47.717174469,"(47.717174469, -122.344896098)"
PROSTITUTION,04/20/2014 02:45:00 AM,32XX BLOCK OF RAINIER AV S,-122.295908684,47.575418358,"(47.575418358, -122.295908684)"
PROSTITUTION,04/19/2014 02:17:00 AM,8 AV N / JOHN ST,-122.341090393,47.619713174,"(47.619713174, -122.341090393)"
PROSTITUTION,04/19/2014 12:17:00 AM,DEXTER AV N / JOHN ST,-122.342392364,47.619717854,"(47.619717854, -122.342392364)"
PROSTITUTION,04/18/2014 11:45:00 PM,6XX BLOCK OF DEXTER AV N,-122.342343512,47.624694073,"(47.624694073, -122.342343512)"
PROSTITUTION,04/18/2014 11:26:00 PM,DEXTER AV N / JOHN ST,-122.342392364,47.619717854,"(47.619717854, -122.342392364)"
PROSTITUTION,04/18/2014 11:09:00 PM,4XX BLOCK OF 8 AV N,-122.341060918,47.622635119,"(47.622635119, -122.341060918)"
PROSTITUTION,04/18/2014 10:54:00 PM,1XX BLOCK OF DEXTER AV N,-122.342396778,47.619134886,"(47.619134886, -122.342396778)"
PROSTITUTION,04/18/2014 10:11:00 PM,2XX BLOCK OF 8 AV N,-122.341081501,47.620299298,"(47.620299298, -122.341081501)"
PROSTITUTION,04/18/2014 09:21:00 PM,DEXTER AV / DENNY WY,-122.342403089,47.618549614,"(47.618549614, -122.342403089)"
PROSTITUTION,04/17/2014 12:53:00 AM,N 93 ST / AURORA AV N,-122.344594352,47.6963581,"(47.6963581, -122.344594352)"
PROSTITUTION,04/16/2014 11:43:00 PM,15XX BLOCK OF 12 AV,-122.316845012,47.61468385,"(47.61468385, -122.316845012)"
PROSTITUTION,04/16/2014 11:02:00 PM,N 100 ST / AURORA AV N,-122.344652477,47.701427305,"(47.701427305, -122.344652477)"
PROSTITUTION,04/16/2014 10:53:00 PM,135XX BLOCK OF AURORA AV N,-122.345027037,47.727768617,"(47.727768617, -122.345027037)"
PROSTITUTION,04/16/2014 10:29:00 PM,135XX BLOCK OF AURORA AV N,-122.345027037,47.727768617,"(47.727768617, -122.345027037)"
PROSTITUTION,04/16/2014 10:28:00 PM,135XX BLOCK OF AURORA AV N,-122.345027037,47.727768617,"(47.727768617, -122.345027037)"
PROSTITUTION,04/16/2014 10:03:00 PM,135XX BLOCK OF AURORA AV N,-122.345027037,47.727768617,"(47.727768617, -122.345027037)"
PROSTITUTION,04/16/2014 09:55:00 PM,N 93 ST / AURORA AV N,-122.344594352,47.6963581,"(47.6963581, -122.344594352)"
PROSTITUTION,04/16/2014 09:45:00 PM,N 135 ST / AURORA AV N,-122.345018865,47.726857313,"(47.726857313, -122.345018865)"
PROSTITUTION,04/16/2014 09:45:00 PM,120XX BLOCK OF AURORA AV N,-122.344896098,47.717174469,"(47.717174469, -122.344896098)"
PROSTITUTION,04/16/2014 09:19:00 PM,N 97 ST / AURORA AV N,-122.344632325,47.699617846,"(47.699617846, -122.344632325)"
PROSTITUTION,04/16/2014 09:06:00 PM,135XX BLOCK OF AURORA AV N,-122.345027037,47.727768617,"(47.727768617, -122.345027037)"
PROSTITUTION,04/14/2014 06:47:00 AM,117XX BLOCK OF AURORA AV N,-122.344896098,47.717174469,"(47.717174469, -122.344896098)"
PROSTITUTION,04/13/2014 06:45:00 PM,125XX BLOCK OF AURORA AV N,-122.344946829,47.720481993,"(47.720481993, -122.344946829)"
PROSTITUTION,04/13/2014 06:19:00 PM,120XX BLOCK OF AURORA AV N,-122.344896098,47.717174469,"(47.717174469, -122.344896098)"
PROSTITUTION,04/13/2014 06:14:00 PM,130XX BLOCK OF AURORA AV N,-122.344996831,47.725035552,"(47.725035552, -122.344996831)"
PROSTITUTION,04/13/2014 01:33:00 AM,NW 83 ST / MARY AV NW,-122.375463172,47.688727582,"(47.688727582, -122.375463172)"
SOAP (STAY OUT OF AREA OF PROSTITUTION) ORDER VIOLATION,04/12/2014 08:11:00 PM,AURORA AV N / N 141 ST,-122.345063392,47.731038281,"(47.731038281, -122.345063392)"
"VICE, OTHER",04/12/2014 08:50:00 AM,58XX BLOCK OF 4 AV S,-122.329574745,47.550767548,"(47.550767548, -122.329574745)"
PROSTITUTION,04/11/2014 12:21:00 PM,90XX BLOCK OF AURORA AV N,-122.344569272,47.694547963,"(47.694547963, -122.344569272)"
SUSPICIOUS PERSON,04/11/2014 10:30:00 AM,RAINIER AV S / S GARDEN ST,-122.270434957,47.537641602,"(47.537641602, -122.270434957)"
PROSTITUTION,04/11/2014 06:29:00 AM,117XX BLOCK OF AURORA AV N,-122.344896098,47.717174469,"(47.717174469, -122.344896098)"
PROSTITUTION,04/10/2014 10:51:00 PM,N 95 ST / AURORA AV N,-122.344608115,47.69780844,"(47.69780844, -122.344608115)"
PROSTITUTION,04/10/2014 10:32:00 PM,100XX BLOCK OF AURORA AV N,-122.344655379,47.701792104,"(47.701792104, -122.344655379)"
PROSTITUTION,04/10/2014 10:06:00 PM,N 125 ST / AURORA AV N,-122.344940802,47.719570093,"(47.719570093, -122.344940802)"
PROSTITUTION,04/10/2014 10:06:00 PM,N 105 ST / AURORA AV N,-122.344696924,47.705048909,"(47.705048909, -122.344696924)"
PROSTITUTION,04/10/2014 10:05:00 PM,125XX BLOCK OF AURORA AV N,-122.344946829,47.720481993,"(47.720481993, -122.344946829)"
PROSTITUTION,04/10/2014 09:41:00 PM,N 95 ST / AURORA AV N,-122.344608115,47.69780844,"(47.69780844, -122.344608115)"
PROSTITUTION,04/10/2014 08:11:00 PM,130XX BLOCK OF AURORA AV N,-122.344996831,47.725035552,"(47.725035552, -122.344996831)"
PROSTITUTION,04/10/2014 06:32:00 PM,9XX BLOCK OF N 93 ST,-122.345938273,47.696362592,"(47.696362592, -122.345938273)"
PROSTITUTION,04/10/2014 06:10:00 PM,123XX BLOCK OF AURORA AV N,-122.344896098,47.717174469,"(47.717174469, -122.344896098)"
PROSTITUTION,04/08/2014 07:35:00 PM,N 127 ST / AURORA AV N,-122.344957229,47.721390568,"(47.721390568, -122.344957229)"
PROSTITUTION,04/08/2014 12:35:00 AM,89XX BLOCK OF AURORA AV N,-122.34456066,47.693823401,"(47.693823401, -122.34456066)"
PROSTITUTION,04/07/2014 07:12:00 PM,1XX BLOCK OF 1 AV S,-122.33418006,47.601302764,"(47.601302764, -122.33418006)"
PROSTITUTION,04/07/2014 06:44:00 PM,S WALKER ST / 28 AV S,-122.296421889,47.583633095,"(47.583633095, -122.296421889)"
SUSPICIOUS VEHICLE,04/05/2014 02:17:00 PM,OCCIDENTAL AV S / S WASHINGTON ST,-122.332878486,47.600879865,"(47.600879865, -122.332878486)"
PROSTITUTION,04/04/2014 07:17:00 AM,117XX BLOCK OF AURORA AV N,-122.344896098,47.717174469,"(47.717174469, -122.344896098)"
"VICE, OTHER",04/03/2014 11:16:00 PM,2XX BLOCK OF DEXTER AV N,-122.342386716,47.620304003,"(47.620304003, -122.342386716)"
"VICE, OTHER",04/03/2014 11:15:00 PM,2XX BLOCK OF DEXTER AV N,-122.342386716,47.620304003,"(47.620304003, -122.342386716)"
"VICE, OTHER",04/03/2014 11:15:00 PM,2XX BLOCK OF DEXTER AV N,-122.342386716,47.620304003,"(47.620304003, -122.342386716)"
PROSTITUTION,04/01/2014 06:49:00 AM,24XX BLOCK OF 4 AV S,-122.329054583,47.582935253,"(47.582935253, -122.329054583)"
PROSTITUTION,03/31/2014 12:24:00 PM,24XX BLOCK OF 4 AV S,-122.329055958,47.580851341,"(47.580851341, -122.329055958)"
PORNOGRAPHY,03/30/2014 06:19:00 AM,117XX BLOCK OF AURORA AV N,-122.344896098,47.717174469,"(47.717174469, -122.344896098)"
PROSTITUTION,03/30/2014 03:46:00 AM,23 AV S / S JACKSON ST,-122.302237278,47.599280705,"(47.599280705, -122.302237278)"
PROSTITUTION,03/29/2014 06:47:00 AM,117XX BLOCK OF AURORA AV N,-122.344896098,47.717174469,"(47.717174469, -122.344896098)"
PROSTITUTION,03/29/2014 02:24:00 AM,8 AV N / THOMAS ST,-122.341079639,47.620881416,"(47.620881416, -122.341079639)"
PROSTITUTION,03/27/2014 07:58:00 AM,N 94 ST / AURORA AV N,-122.344603223,47.697081872,"(47.697081872, -122.344603223)"
PROSTITUTION,03/27/2014 05:19:00 AM,117XX BLOCK OF AURORA AV N,-122.344896098,47.717174469,"(47.717174469, -122.344896098)"
PROSTITUTION,03/27/2014 12:05:00 AM,83XX BLOCK OF AURORA AV N,-122.3445163,47.689474378,"(47.689474378, -122.3445163)"
PROSTITUTION,03/23/2014 01:08:00 AM,3 AV / DENNY WY,-122.351362643,47.618584009,"(47.618584009, -122.351362643)"
PROSTITUTION,03/21/2014 05:38:00 AM,117XX BLOCK OF AURORA AV N,-122.344896098,47.717174469,"(47.717174469, -122.344896098)"
PROSTITUTION,03/20/2014 06:36:00 PM,AURORA AV N / N 117 PL,-122.344854054,47.714775472,"(47.714775472, -122.344854054)"
PROSTITUTION,03/20/2014 01:50:00 PM,N 95 ST / AURORA AV N,-122.344608115,47.69780844,"(47.69780844, -122.344608115)"
FELONY WARRANT SERVICE,03/19/2014 08:55:00 PM,120XX BLOCK OF AURORA AV N,-122.344896098,47.717174469,"(47.717174469, -122.344896098)"
PROSTITUTION,03/18/2014 08:02:00 PM,N 97 ST / AURORA AV N,-122.344632325,47.699617846,"(47.699617846, -122.344632325)"
PROSTITUTION,03/18/2014 07:50:00 PM,N 95 ST / AURORA AV N,-122.344608115,47.69780844,"(47.69780844, -122.344608115)"
PROSTITUTION,03/18/2014 07:15:00 PM,93XX BLOCK OF AURORA AV N,-122.344595107,47.696722095,"(47.696722095, -122.344595107)"
PROSTITUTION,03/18/2014 06:59:00 PM,AURORA AV N / N 125 ST,-122.344940802,47.719570093,"(47.719570093, -122.344940802)"
PROSTITUTION,03/18/2014 06:50:00 PM,125XX BLOCK OF AURORA AV N,-122.344946829,47.720481993,"(47.720481993, -122.344946829)"
PROSTITUTION,03/18/2014 06:22:00 PM,117XX BLOCK OF AURORA AV N,-122.344896098,47.717174469,"(47.717174469, -122.344896098)"
PROSTITUTION,03/18/2014 05:23:00 PM,125XX BLOCK OF AURORA AV N,-122.344946829,47.720481993,"(47.720481993, -122.344946829)"
PROSTITUTION,03/18/2014 08:11:00 AM,117XX BLOCK OF AURORA AV N,-122.344896098,47.717174469,"(47.717174469, -122.344896098)"
PROSTITUTION,03/18/2014 01:09:00 AM,8 AV N / HARRISON ST,-122.341068885,47.622049657,"(47.622049657, -122.341068885)"
SUSPICIOUS PERSON,03/17/2014 11:04:00 PM,8 AV S / S KING ST,-122.322451865,47.598346108,"(47.598346108, -122.322451865)"
PROSTITUTION,03/17/2014 10:31:00 PM,N 125 ST / AURORA AV N,-122.344940802,47.719570093,"(47.719570093, -122.344940802)"
PROSTITUTION,03/17/2014 06:48:00 AM,117XX BLOCK OF AURORA AV N,-122.344896098,47.717174469,"(47.717174469, -122.344896098)"
SUSPICIOUS PERSON,03/15/2014 03:40:00 PM,2 AV / BELL ST,-122.345654257,47.614039708,"(47.614039708, -122.345654257)"
PROSTITUTION,03/15/2014 06:47:00 AM,117XX BLOCK OF AURORA AV N,-122.344896098,47.717174469,"(47.717174469, -122.344896098)"
PROSTITUTION,03/15/2014 04:58:00 AM,120XX BLOCK OF AURORA AV N,-122.344896098,47.717174469,"(47.717174469, -122.344896098)"
SUSPICIOUS PERSON,03/14/2014 09:10:00 PM,N 46 ST / FREMONT AV N,-122.350036744,47.662133996,"(47.662133996, -122.350036744)"
SOAP (STAY OUT OF AREA OF PROSTITUTION) ORDER VIOLATION,03/14/2014 10:41:00 AM,AURORA AV N / N 143 ST,-122.345080034,47.732307609,"(47.732307609, -122.345080034)"
"VICE, OTHER",03/13/2014 06:01:00 PM,4 AV S / S STACY ST,-122.32905709,47.581892406,"(47.581892406, -122.32905709)"
"MISCHIEF, NUISANCE COMPLAINTS",03/12/2014 12:23:00 PM,72XX BLOCK OF E MARGINAL WY S,-122.317892561,47.537087213,"(47.537087213, -122.317892561)"
PROSTITUTION,03/11/2014 08:15:00 AM,117XX BLOCK OF AURORA AV N,-122.344896098,47.717174469,"(47.717174469, -122.344896098)"
PROSTITUTION,03/10/2014 08:44:00 PM,120XX BLOCK OF EVANSTON AV N,-122.351584175,47.716869806,"(47.716869806, -122.351584175)"
PROSTITUTION,03/10/2014 06:22:00 AM,117XX BLOCK OF AURORA AV N,-122.344896098,47.717174469,"(47.717174469, -122.344896098)"
"MISCHIEF, NUISANCE COMPLAINTS",03/10/2014 12:31:00 AM,STONE AV N / STENDALL DR N,-122.342164355,47.714495768,"(47.714495768, -122.342164355)"
PROSTITUTION,03/09/2014 06:26:00 AM,117XX BLOCK OF AURORA AV N,-122.344896098,47.717174469,"(47.717174469, -122.344896098)"
PROSTITUTION,03/07/2014 11:53:00 PM,12 AV S / S JACKSON ST,-122.317226088,47.599187637,"(47.599187637, -122.317226088)"
PROSTITUTION,03/07/2014 11:22:00 PM,12 AV S / S JACKSON ST,-122.317226088,47.599187637,"(47.599187637, -122.317226088)"
PROSTITUTION,03/07/2014 11:22:00 PM,3XX BLOCK OF DEXTER AV N,-122.342376653,47.62147207,"(47.62147207, -122.342376653)"
PROSTITUTION,03/07/2014 10:41:00 PM,10 AV S / S KING ST,-122.319646612,47.598347148,"(47.598347148, -122.319646612)"
PROSTITUTION,03/07/2014 09:03:00 PM,10 AV S / S KING ST,-122.319646612,47.598347148,"(47.598347148, -122.319646612)"
SUSPICIOUS PERSON,03/06/2014 08:32:00 PM,36XX BLOCK OF GREENWOOD AV N,-122.35549001,47.653314238,"(47.653314238, -122.35549001)"
PROSTITUTION,03/06/2014 06:46:00 AM,117XX BLOCK OF AURORA AV N,-122.344896098,47.717174469,"(47.717174469, -122.344896098)"
PROSTITUTION,03/05/2014 06:59:00 PM,123XX BLOCK OF AURORA AV N,-122.344896098,47.717174469,"(47.717174469, -122.344896098)"
PROSTITUTION,03/05/2014 06:23:00 PM,123XX BLOCK OF AURORA AV N,-122.344896098,47.717174469,"(47.717174469, -122.344896098)"
PROSTITUTION,03/05/2014 05:35:00 PM,123XX BLOCK OF AURORA AV N,-122.344896098,47.717174469,"(47.717174469, -122.344896098)"
PROSTITUTION,03/05/2014 07:31:00 AM,117XX BLOCK OF AURORA AV N,-122.344896098,47.717174469,"(47.717174469, -122.344896098)"
PROSTITUTION,03/02/2014 08:51:00 AM,22 AV / E CHERRY ST,-122.303724358,47.608008444,"(47.608008444, -122.303724358)"
PROSTITUTION,03/01/2014 05:17:00 PM,122XX BLOCK OF AURORA AV N,-122.344896098,47.717174469,"(47.717174469, -122.344896098)"
PROSTITUTION,02/28/2014 01:08:00 AM,111XX BLOCK OF AURORA AV N,-122.34476003,47.709059715,"(47.709059715, -122.34476003)"
PARKING VIOLATION (EXCEPT ABANDONED VEHICLES),02/27/2014 05:04:00 PM,S GARDEN ST / RAINIER AV S,-122.270434957,47.537641602,"(47.537641602, -122.270434957)"
SUSPICIOUS PERSON,02/27/2014 04:40:00 PM,RAINIER AV S / S BARTON ST,-122.270000665,47.521008822,"(47.521008822, -122.270000665)"
PROSTITUTION,02/27/2014 02:34:00 AM,10 AV S / S KING ST,-122.319646612,47.598347148,"(47.598347148, -122.319646612)"
PROSTITUTION,02/27/2014 01:25:00 AM,12 AV S / S KING ST,-122.317230229,47.598337563,"(47.598337563, -122.317230229)"
PROSTITUTION,02/27/2014 12:21:00 AM,10 AV S / S WELLER ST,-122.319646974,47.59750809,"(47.59750809, -122.319646974)"
SUSPICIOUS PERSON,02/25/2014 04:22:00 PM,N 127 ST / AURORA AV N,-122.344957229,47.721390568,"(47.721390568, -122.344957229)"
PROSTITUTION,02/25/2014 07:34:00 AM,117XX BLOCK OF AURORA AV N,-122.344896098,47.717174469,"(47.717174469, -122.344896098)"
PROSTITUTION,02/24/2014 05:32:00 PM,117XX BLOCK OF AURORA AV N,-122.344896098,47.717174469,"(47.717174469, -122.344896098)"
SUSPICIOUS PERSON,02/24/2014 05:11:00 PM,RAINIER AV S / S GARDEN ST,-122.270434957,47.537641602,"(47.537641602, -122.270434957)"
PROSTITUTION,02/21/2014 07:15:00 PM,89XX BLOCK OF AURORA AV N,-122.34456066,47.693823401,"(47.693823401, -122.34456066)"
PROSTITUTION,02/20/2014 08:18:00 PM,123XX BLOCK OF AURORA AV N,-122.344896098,47.717174469,"(47.717174469, -122.344896098)"
PROSTITUTION,02/20/2014 07:46:00 PM,N 130 ST / AURORA AV N,-122.34497772,47.72321099,"(47.72321099, -122.34497772)"
PROSTITUTION,02/20/2014 07:09:00 PM,N 127 ST / AURORA AV N,-122.344957229,47.721390568,"(47.721390568, -122.344957229)"
PROSTITUTION,02/20/2014 06:47:00 PM,123XX BLOCK OF AURORA AV N,-122.344896098,47.717174469,"(47.717174469, -122.344896098)"
PROSTITUTION,02/20/2014 05:29:00 PM,125XX BLOCK OF AURORA AV N,-122.344946829,47.720481993,"(47.720481993, -122.344946829)"
PROSTITUTION,02/20/2014 05:12:00 PM,125XX BLOCK OF AURORA AV N,-122.344946829,47.720481993,"(47.720481993, -122.344946829)"
PROSTITUTION,02/20/2014 05:11:00 PM,N 96 ST / AURORA AV N,-122.344616987,47.698532213,"(47.698532213, -122.344616987)"
SUSPICIOUS PERSON,02/20/2014 04:47:00 PM,22XX BLOCK OF 14 AV S,-122.314695224,47.583341928,"(47.583341928, -122.314695224)"
PROSTITUTION,02/20/2014 08:24:00 AM,N 91 ST / AURORA AV N,-122.34457653,47.694907812,"(47.694907812, -122.34457653)"
PROSTITUTION,02/20/2014 07:39:00 AM,117XX BLOCK OF AURORA AV N,-122.344896098,47.717174469,"(47.717174469, -122.344896098)"
PROSTITUTION,02/19/2014 07:05:00 AM,117XX BLOCK OF AURORA AV N,-122.344896098,47.717174469,"(47.717174469, -122.344896098)"
PROSTITUTION,02/19/2014 05:24:00 AM,120XX BLOCK OF AURORA AV N,-122.344896098,47.717174469,"(47.717174469, -122.344896098)"
PROSTITUTION,02/14/2014 06:46:00 PM,STONE AV N / N 94 ST,-122.341906002,47.69707099,"(47.69707099, -122.341906002)"
SUSPICIOUS PERSON,02/14/2014 02:49:00 PM,28XX BLOCK OF W MC GRAW ST,-122.393603054,47.639563874,"(47.639563874, -122.393603054)"
PROSTITUTION,02/14/2014 05:52:00 AM,117XX BLOCK OF AURORA AV N,-122.344896098,47.717174469,"(47.717174469, -122.344896098)"
