Event Clearance Description,Event Clearance Date,Hundred Block Location,Longitude,Latitude,Incident Location
SUSPICIOUS VEHICLE,04/28/2015 07:29:00 PM,N 90 ST / AURORA AV N,-122.344567659,47.694184039,"(47.694184039, -122.344567659)"
SUSPICIOUS VEHICLE,04/28/2015 12:48:00 PM,9XX BLOCK OF N 92 ST,-122.34593224,47.69564061,"(47.69564061, -122.34593224)"
"DISTURBANCE, OTHER",04/25/2015 05:46:00 AM,40XX BLOCK OF AIRPORT WY S,-122.322664715,47.567635137,"(47.567635137, -122.322664715)"
FELONY WARRANT SERVICE,04/24/2015 06:19:00 PM,9XX BLOCK OF N 96 ST,-122.345966048,47.698717665,"(47.698717665, -122.345966048)"
"VICE, OTHER",04/24/2015 01:51:00 PM,92XX BLOCK OF AURORA AV N,-122.344586493,47.69599675,"(47.69599675, -122.344586493)"
SUSPICIOUS PERSON,04/23/2015 12:19:00 AM,N 93 ST / AURORA AV N,-122.344594351,47.6963581,"(47.6963581, -122.344594351)"
PROSTITUTION,04/22/2015 01:31:00 PM,N 100 ST / AURORA AV N,-122.344652476,47.701427305,"(47.701427305, -122.344652476)"
SUSPICIOUS PERSON,04/22/2015 09:11:00 AM,94XX BLOCK OF AURORA AV N,-122.344603718,47.697446424,"(47.697446424, -122.344603718)"
SUSPICIOUS VEHICLE,04/21/2015 08:27:00 PM,9XX BLOCK OF N 88 ST,-122.345887806,47.69274141,"(47.69274141, -122.345887806)"
PROSTITUTION,04/17/2015 09:32:00 PM,22XX BLOCK OF 4 AV S,-122.329054587,47.582935255,"(47.582935255, -122.329054587)"
PROSTITUTION,04/17/2015 04:27:00 PM,116XX BLOCK OF AURORA AV N,-122.344834271,47.713547978,"(47.713547978, -122.344834271)"
PROSTITUTION,04/17/2015 04:04:00 PM,85XX BLOCK OF NESBIT AV N,-122.343458331,47.691463919,"(47.691463919, -122.343458331)"
PROSTITUTION,04/17/2015 04:03:00 PM,AURORA AV N / N 93 ST,-122.344594351,47.6963581,"(47.6963581, -122.344594351)"
